id;q1_emotion;q2_frequency;q3_effort_tradeoff;q4_perceived_impact;q5_civic_duty;q6_emotional_reward;q7_trust;q8_social_influence;q9_information_load;q10_disillusionment;q11_online_voting;q12_competitiveness;q13_incentive;q14_open_response;created_at;age_range;location
3842e465-3f03-43b8-8764-887ee653f416;Indifference;Never;Probably yes;Maybe somewhat;Agree;Neutral;Somewhat confident;Neutral;Disagree;Disagree;Probably yes;Probably yes;None of these would make a difference;;2025-10-31 15:25:39.659748+00;18-24;Midwest
12ea720d-ca4e-4721-9b46-eeaf1331706c;Indifference;Often;Definitely not;Not really;Agree;Neutral;Somewhat confident;Disagree;Disagree;Agree;Probably yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);;2025-10-31 15:29:20.980919+00;18-24;West
f3053999-5d5e-4c38-a3a8-14555018313e;Excitement;Never;Probably yes;Maybe somewhat;Strongly agree;Proud and satisfied;Very confident;Strongly disagree;Disagree;Strongly agree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;"	- A stronger and more credible opposition parties offering genuine ideological and policy alternatives. A wider range of competent candidates representing diverse perspectives would make it easier to find someone who truly aligns with my values, aspirations and ideas of 'good governance'. 
- I’d also feel more confident voting if there were greater transparency about politicians’ wealth, track records, and the real outcomes of government schemes, all presented in a way that’s easily accessible. It would make it easier to hold leaders accountable and make an informed choice.
";2025-10-31 15:39:57.734542+00;18-24;Southeast
810b8a58-30d8-4a2f-804f-355b60effe2c;Excitement;Rarely;Probably yes;Not really;Strongly agree;Proud and satisfied;Unsure;Strongly agree;Agree;Strongly agree;Probably not;Probably yes;Nothing — I'd vote anyway;;2025-10-31 15:44:02.918605+00;18-24;Southwest
9db740a6-388a-4b65-97cf-d22203c9528c;Indifference;Never;Probably not;Not at all;Strongly agree;Proud and satisfied;Somewhat confident;Agree;Agree;Agree;Definitely yes;Definitely yes;None of these would make a difference;Maybe ease of voting, not standing in long queues;2025-10-31 15:47:05.094386+00;18-24;Northeast
0c5816f7-4800-4191-96a9-62ccad5646bc;Distrust;Sometimes;Not sure;Not really;Disagree;Neutral;Unsure;Agree;Disagree;Disagree;Definitely yes;Probably yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);;2025-10-31 15:58:23.286111+00;18-24;Other/International
7e24fba5-4776-491f-a37e-4790a42c7f10;Curiosity;Never;Probably yes;Not at all;Strongly agree;Proud and satisfied;Very doubtful;Neutral;Agree;Strongly agree;Definitely yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);Better politicians contesting in the elections is the biggest motivator to go and vote for them.;2025-10-31 16:27:17.952566+00;18-24;Midwest
5d818331-fd6a-4cae-9030-1ab0b6543bb7;Distrust;Never;Definitely not;Not at all;Strongly disagree;Like it didn't matter;Very doubtful;Strongly disagree;Strongly disagree;Neutral;Definitely not;Not sure;None of these would make a difference;Use a better ui for this;2025-10-31 16:29:22.753959+00;35-44;Midwest
3683c02e-15a8-460e-86b0-1d0fdf3f043a;Frustration;Sometimes;Probably not;Not really;Agree;Relieved or calm;Unsure;Neutral;Agree;Disagree;Definitely yes;Probably yes;A 'Voter ID badge' or digital certificate recognizing participation;The queues for waiting are usually very long, takes a few hours and outside in hot weather. Anything that reduces time probably to few minutes would be better. ;2025-10-31 16:37:24.97452+00;18-24;Southwest
07506a41-4611-4e37-961b-a976b8be10cb;Excitement;Never;Probably yes;Maybe somewhat;Strongly agree;Neutral;Somewhat confident;Agree;Neutral;Agree;Not sure;Probably yes;None of these would make a difference;Knowing that my vote will make difference in terms of building a better society and country for everyone.;2025-10-31 16:43:58.797804+00;18-24;Other/International
97294410-6674-491b-ad73-9ebf084f63dc;Indifference;Never;Definitely yes;Maybe somewhat;Strongly agree;Proud and satisfied;Somewhat confident;Neutral;Disagree;Strongly disagree;Definitely yes;Probably yes;Nothing — I'd vote anyway;Remote voting option would be very helpful ;2025-10-31 16:44:13.690053+00;18-24;Southwest
43f9e4b5-5760-45bd-9879-a704473a45fd;Indifference;Never;Probably not;Not at all;Strongly agree;Neutral;Very doubtful;Agree;Agree;Agree;Definitely yes;Probably yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);Better polling management and more general transparency in elections ;2025-10-31 16:55:08.91922+00;18-24;Southeast
2a2ef855-798b-4457-aaab-07aef00df6f7;Frustration;Often;Probably yes;Yes, definitely;Strongly disagree;Proud and satisfied;Unsure;Neutral;Neutral;Neutral;Definitely yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;Very nice very informative ;2025-10-31 17:07:47.452266+00;18-24;Southeast
56c337cc-fc16-4244-ac44-e1280ab0c100;Curiosity;Rarely;Probably yes;Not really;Agree;Neutral;Somewhat doubtful;Neutral;Agree;Agree;Definitely yes;Not sure;None of these would make a difference;If there were visible impacts of it on society - my vote was considered fairly, it helped choose a minister who actually works for the people, the system of voting was improved and made more convenient for people, etc;2025-10-31 17:40:03.489716+00;18-24;West
1b730978-de0f-4125-87c5-f26ca6bc2a50;Curiosity;Rarely;Not sure;Maybe somewhat;Strongly agree;Neutral;Unsure;Agree;Neutral;Disagree;Not sure;Definitely yes;None of these would make a difference;Good campaigning ;2025-10-31 17:46:52.152412+00;18-24;Southwest
b2c056da-a83d-41ff-9320-15a31f7c8def;Frustration;Often;Definitely yes;Not at all;Agree;Proud and satisfied;Somewhat confident;Disagree;Disagree;Disagree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;I do my duty as a responsible citizen of this country ;2025-10-31 18:09:14.702552+00;45-54;West
7ce7c57e-4336-4c26-b9cb-77286dee3feb;Curiosity;Often;Not sure;Not really;Neutral;Neutral;Unsure;Disagree;Neutral;Neutral;Probably yes;Probably yes;Nothing — I'd vote anyway;Easier;2025-10-31 18:15:59.177462+00;45-54;West
bf94a6a8-48d0-4eb0-bb23-6ad0dc456ede;Indifference;Never;Probably not;Not really;Agree;Neutral;Somewhat confident;Strongly disagree;Disagree;Agree;Definitely yes;Probably yes;None of these would make a difference;Politicians that elicit values that let me trust their work in their position, even if I may not fully agree with their policies;2025-10-31 18:20:28.426858+00;18-24;Southwest
6df97fd2-a3cb-4e17-977e-b4aba8267cdf;Curiosity;Never;Not sure;Maybe somewhat;Agree;Neutral;Somewhat confident;Neutral;Agree;Disagree;Not sure;Definitely yes;Nothing — I'd vote anyway;You shall never find a perfect voting system. People are fucking dumb they will vote for short term benifits and will ignore the long term repercussions of their actions. Even if people were smart or rational per se, even then the system doomed, as it make a nash state mutually assured destruction for every one. It will be terrible live in a place like that. ;2025-10-31 19:13:29.580948+00;18-24;Midwest
cde60613-4900-447e-bbc3-ed90285c8a1d;Indifference;Never;Probably yes;Not really;Strongly agree;Neutral;Very confident;Agree;Agree;Strongly agree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;Would like to vote for younger politician;2025-10-31 19:18:39.483839+00;18-24;West
1ccb908c-052d-4f8d-95ad-f023ed5a59e8;Curiosity;Always;Definitely yes;Maybe somewhat;Strongly agree;Proud and satisfied;Very confident;Strongly agree;Neutral;Disagree;Not sure;Definitely yes;Nothing — I'd vote anyway;Knowing that my vote makes a difference. ;2025-11-01 05:14:11.411173+00;18-24;West
02c0882a-2173-4c00-9bea-4eda775fba1c;Indifference;Often;Definitely not;Not really;Agree;Proud and satisfied;Somewhat confident;Strongly agree;Neutral;Disagree;Definitely yes;Probably yes;Social media acknowledgment or a 'Voter' badge for your profile;Make it online.;2025-11-01 05:56:41.031025+00;18-24;Midwest
64e0f598-3af9-4576-b0b0-d2c2f21a45c7;Curiosity;Never;Not sure;Not really;Agree;Neutral;Very doubtful;Agree;Disagree;;Definitely yes;Probably yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);"Transparency about vote
";2025-11-01 07:27:04.632334+00;18-24;West
718b39b2-f49e-4b7e-a92a-7cb574ee00c6;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Neutral;Very confident;Strongly agree;Disagree;Disagree;Definitely not;Definitely yes;Nothing — I'd vote anyway;;2025-11-01 08:30:51.805173+00;18-24;West
a42a936d-6b53-423e-b943-b81936527921;Indifference;Never;Definitely yes;Maybe somewhat;Strongly agree;Proud and satisfied;Somewhat doubtful;Strongly disagree;Strongly agree;Strongly agree;Definitely yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);I would be more like it to vote if I felt confident in integrity and commitmentof elected officials and candidates and having leaders who are genuinely account table and focuses on actually developing the nation;2025-11-01 08:44:36.569954+00;18-24;West
3b5e101c-4303-4a64-818a-fe39af84474e;Curiosity;Never;Probably yes;Not at all;Strongly agree;Neutral;Unsure;Disagree;Neutral;Neutral;Not sure;Probably yes;Nothing — I'd vote anyway;Easy facilitation, transportation, and less time-consuming processes would make me more likely to vote;2025-11-01 08:49:10.585717+00;18-24;Southwest
526f987b-d136-4e37-b96b-ab3105425958;Curiosity;Never;Definitely not;Not really;Agree;Like it didn't matter;Unsure;Agree;Agree;Neutral;Definitely yes;Probably yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);;2025-11-01 09:06:16.625846+00;18-24;Other/International
4af9c0ce-36cf-461c-9730-f0c45b3e265a;Curiosity;Never;Definitely yes;Not really;Strongly agree;Proud and satisfied;Very confident;Agree;Disagree;Neutral;Probably yes;Definitely yes;;;2025-11-01 09:20:45.902536+00;18-24;West
e1fd127a-0653-40e4-82b7-5273820db2af;Excitement;Never;Probably yes;Not really;Strongly agree;Neutral;Very doubtful;Disagree;Strongly disagree;Strongly agree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;I will still vote it's my right but I also feel that voting machines are tampered at a large scale and such malpractices must be taken care of because it takes away the fun from voting. I think there is a need for new secure methods for voting which would really make our vote count!!;2025-11-01 09:25:06.059629+00;18-24;Other/International
7502229b-d5de-4f26-b025-0d151bf6ef78;Distrust;Never;Probably yes;Maybe somewhat;Agree;Neutral;Somewhat confident;Neutral;Neutral;Neutral;Probably yes;Probably yes;None of these would make a difference;No comments ;2025-11-01 09:26:16.279237+00;18-24;West
f4d73741-73ba-446f-ae1b-49765b56d1b7;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Somewhat doubtful;Disagree;Disagree;Strongly agree;Probably yes;Definitely yes;Nothing — I'd vote anyway;Worst government;2025-11-01 09:27:56.514728+00;18-24;Southeast
ea25bd4e-ae13-4af0-b55e-fc045f192343;Indifference;Never;Probably not;Not at all;Strongly agree;Neutral;Unsure;Disagree;Disagree;Agree;Probably yes;Probably yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);;2025-11-01 10:31:21.390453+00;18-24;West
21f3bd3e-71c4-4eb4-a1c3-e356f83c2dc1;Curiosity;Never;Probably yes;Yes, definitely;Agree;Neutral;Unsure;Disagree;Neutral;Disagree;Probably not;Probably yes;Nothing — I'd vote anyway;"I think the voting system should be fair enough to count every vote with fairness as every citizen understands their responsibility to vote if their votes are counted in a fair and right manner. This would also make the citizens enthusiast toh vote.
The another exceptional thought I have is that there should be no holiday on the election day as this creates a less voting numbers sometimes. To vote someone only takes 15-20 min(not sure but approx) does not count for a day holiday. This makes individual feel as a fun day to enjoy and cannot drive their focus on their voting rights as an individual.";2025-11-01 11:06:06.858792+00;18-24;West
865b9abd-5235-4979-a9b9-6c2533548e96;Indifference;Never;Not sure;Not really;Agree;Neutral;Very doubtful;Neutral;Disagree;Neutral;Definitely yes;Definitely yes;None of these would make a difference;Online Voting, quick and easy. No hassle. Have Digital identity. ;2025-11-01 11:13:52.435432+00;18-24;Midwest
8578a45a-e9be-4a82-a9e4-c2b82633d362;Frustration;Never;Probably not;Maybe somewhat;Strongly agree;Relieved or calm;Somewhat confident;Neutral;Strongly agree;Agree;Probably yes;Not sure;A chance to win a small monetary reward (e.g., local prize lottery for voters);;2025-11-01 11:24:59.82859+00;18-24;Southwest
647f7180-3167-4743-a358-a0ce91c054e2;Excitement;Always;Definitely yes;Maybe somewhat;Strongly agree;Relieved or calm;Very confident;Neutral;Neutral;Agree;Definitely yes;Definitely yes;A chance to win a small monetary reward (e.g., local prize lottery for voters);Better public transport and protection ;2025-11-01 11:38:40.009816+00;18-24;Southeast
fe2abcd6-0691-4724-927f-f2bdd4683557;Excitement;Often;Probably not;Not really;Strongly agree;Relieved or calm;Somewhat confident;Neutral;Disagree;Agree;Definitely yes;Definitely yes;A 'Voter ID badge' or digital certificate recognizing participation;;2025-11-01 12:59:59.101467+00;18-24;Southwest
6edbe272-8e61-45a1-a49e-04d06f9d1ceb;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Unsure;Disagree;Strongly disagree;Strongly disagree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;As a citizen it is my responsibility. If I cannot vote I do not have the right to rise my voice. I cannot go an vote and take it as a responsibility to just post on social media. It is not for anyone but for us! ;2025-11-01 13:47:54.734093+00;25-34;Southeast
221f8670-bd7b-4de8-8715-6f3ead5d2164;Indifference;;Definitely yes;Yes, definitely;;Proud and satisfied;Very confident;Strongly agree;Strongly agree;;Definitely yes;Definitely yes;Nothing — I'd vote anyway;"Now i am voting nothing to change 
";2025-11-02 12:52:00.945137+00;65+;Southeast
509c121b-fc6b-4ff8-9127-61521e261e2b;;Often;Definitely yes;Maybe somewhat;Neutral;Proud and satisfied;Very confident;Strongly agree;Strongly agree;;Definitely yes;Definitely yes;Nothing — I'd vote anyway;Aware the people to vote ;2025-11-02 12:57:44.554102+00;45-54;Southwest
b1761f73-f20e-4caf-a9e1-99e741e627c2;Curiosity;Always;Definitely yes;Maybe somewhat;Agree;Proud and satisfied;Very confident;Agree;Agree;Agree;Definitely yes;Probably not;Nothing — I'd vote anyway;Cast your vote compulsory ;2025-11-02 13:04:00.598652+00;35-44;Southeast
ea0d50a1-6d35-491d-9ccb-262b5afd003b;Curiosity;Rarely;Not sure;Not really;Strongly agree;Proud and satisfied;Very confident;Neutral;Disagree;Agree;Definitely yes;Probably yes;A 'Voter ID badge' or digital certificate recognizing participation;;2025-11-02 13:05:13.804182+00;35-44;Southeast
639b725c-7acf-4b1a-b222-cf7da159f98e;Indifference;Often;Probably yes;Yes, definitely;Strongly disagree;Proud and satisfied;Very confident;Strongly agree;Strongly agree;Agree;Definitely yes;Definitely yes;Social media acknowledgment or a 'Voter' badge for your profile;;2025-11-02 13:06:24.979148+00;45-54;Southwest
eb69956b-2a01-4615-84d2-5ef7ea8dc774;Excitement;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Neutral;Agree;Neutral;Probably yes;;Nothing — I'd vote anyway;Every person should be participate voting. Change the society;2025-11-02 13:15:35.014429+00;35-44;Southeast
a49d09ee-8632-40d3-b677-195022682e2b;Curiosity;Always;Definitely yes;Maybe somewhat;Strongly agree;Proud and satisfied;Very confident;Agree;Agree;;Probably yes;Definitely yes;None of these would make a difference;In democracy voting is very important ;2025-11-02 13:15:55.57106+00;35-44;Southeast
312211fd-04c2-410a-a18d-aad5b81d444e;Curiosity;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Very confident;Neutral;Disagree;Disagree;Definitely yes;Definitely yes;Nothing — I'd vote anyway;Bound to ground reality, if everything implemented fairly, no worries at all in every aspect, including politicks.;2025-11-02 13:16:59.635231+00;45-54;Northeast
289ebe79-77ad-4486-a5ef-d5e333e16e93;Indifference;Always;Definitely yes;Yes, definitely;Strongly agree;Proud and satisfied;Unsure;Neutral;Strongly disagree;Neutral;Definitely yes;Definitely yes;None of these would make a difference;Encouragement and education on voting and responsibility and respect towards  each individual, guidane of the officers  and govt make me likely to vote;2025-11-02 13:20:08.311814+00;45-54;Southeast
